Time,LFP_Gpi_L_02_PEAK8Hz_THR20-30_AVG3000ms,LFP_Gpi_R_02_PEAK8Hz_THR20-30_AVG3000ms,STIM_L_180Hz_120us,STIM_R_180Hz_120us
2020-01-15 08:54:01.000,1334,4612,0.8,1.4
2020-01-15 08:54:01.500,1334,4612,0.8,1.4
2020-01-15 08:54:02.000,1334,4612,0.8,1.4
2020-01-15 08:54:02.500,2131,6640,0.8,1.4
2020-01-15 08:54:03.000,2131,6640,0.8,1.4
2020-01-15 08:54:03.500,2131,6640,0.8,1.4
2020-01-15 08:54:04.000,2131,6640,0.8,1.4
2020-01-15 08:54:04.500,2131,6640,0.8,1.4
2020-01-15 08:54:05.000,2131,6640,0.8,1.4
2020-01-15 08:54:05.500,3909,4302,0.8,1.4
2020-01-15 08:54:06.000,3909,4302,0.8,1.4
2020-01-15 08:54:06.500,3909,4302,0.8,1.4
2020-01-15 08:54:07.000,3909,4302,0.8,1.4
2020-01-15 08:54:07.500,3909,4302,0.8,1.4
2020-01-15 08:54:08.000,3909,4302,0.8,1.4
2020-01-15 08:54:08.500,2149,4295,0.8,1.4
2020-01-15 08:54:09.000,2149,4295,0.8,1.4
2020-01-15 08:54:09.500,2149,4295,0.8,1.4
2020-01-15 08:54:10.000,2149,4295,0.8,1.4
2020-01-15 08:54:10.500,2149,4295,0.8,1.4
2020-01-15 08:54:11.000,2149,4295,0.8,1.4
2020-01-15 08:54:11.500,1942,5364,0.8,1.4
2020-01-15 08:54:12.000,1942,5364,0.8,1.4
2020-01-15 08:54:12.500,1942,5364,0.8,1.4
2020-01-15 08:54:13.000,1942,5364,0.8,1.4
2020-01-15 08:54:13.500,1942,5364,0.8,1.4
2020-01-15 08:54:14.000,1942,5364,0.8,1.4
2020-01-15 08:54:14.500,1261,4230,0.8,1.4
2020-01-15 08:54:15.000,1261,4230,0.8,1.4
2020-01-15 08:54:15.500,1261,4230,0.8,1.4
2020-01-15 08:54:16.000,1261,4230,0.8,1.4
2020-01-15 08:54:16.500,1261,4230,0.8,1.4
2020-01-15 08:54:17.000,1261,4230,0.8,1.4
2020-01-15 08:54:17.500,1201,3894,0.8,1.4
2020-01-15 08:54:18.000,1201,3894,0.8,1.4
2020-01-15 08:54:18.500,1201,3894,0.8,1.4
2020-01-15 08:54:19.000,1201,3894,0.8,1.4
2020-01-15 08:54:19.500,1201,3894,0.8,1.4
2020-01-15 08:54:20.000,1201,3894,0.8,1.4
2020-01-15 08:54:20.500,1166,6171,0.8,1.4
2020-01-15 08:54:21.000,1166,6171,0.8,1.4
2020-01-15 08:54:21.500,1166,6171,0.8,1.4
2020-01-15 08:54:22.000,1166,6171,0.8,1.4
2020-01-15 08:54:22.500,1166,6171,0.8,1.4
2020-01-15 08:54:23.000,1166,6171,0.8,1.4
2020-01-15 08:54:23.500,1033,7409,0.8,1.4
2020-01-15 08:54:24.000,1033,7409,0.8,1.4
2020-01-15 08:54:24.500,1033,7409,0.8,1.4
2020-01-15 08:54:25.000,1033,7409,0.8,1.4
2020-01-15 08:54:25.500,1033,7409,0.8,1.4
2020-01-15 08:54:26.000,1033,7409,0.8,1.4
2020-01-15 08:54:26.500,1971,3548,0.8,1.4
2020-01-15 08:54:27.000,1971,3548,0.8,1.4
2020-01-15 08:54:27.500,1971,3548,0.8,1.4
2020-01-15 08:54:28.000,1971,3548,0.8,1.4
2020-01-15 08:54:28.500,1971,3548,0.8,1.4
2020-01-15 08:54:29.000,1971,3548,0.8,1.4
2020-01-15 08:54:29.500,1348,4032,0.8,1.4
2020-01-15 08:54:30.000,1348,4032,0.8,1.4
2020-01-15 08:54:30.500,1348,4032,0.8,1.4
2020-01-15 08:54:31.000,1348,4032,0.8,1.4
2020-01-15 08:54:31.500,1348,4032,0.8,1.4
2020-01-15 08:54:32.000,1348,4032,0.8,1.4
2020-01-15 08:54:32.500,1649,4258,0.8,1.4
2020-01-15 08:54:33.000,1649,4258,0.8,1.4
2020-01-15 08:54:33.500,1649,4258,0.8,1.4
2020-01-15 08:54:34.000,1649,4258,0.8,1.4
2020-01-15 08:54:34.500,1649,4258,0.8,1.4
2020-01-15 08:54:35.000,1649,4258,0.8,1.4
2020-01-15 08:54:35.500,1202,4300,0.8,1.4
2020-01-15 08:54:36.000,1202,4300,0.8,1.4
2020-01-15 08:54:36.500,1202,4300,0.8,1.4
2020-01-15 08:54:37.000,1202,4300,0.8,1.4
2020-01-15 08:54:37.500,1202,4300,0.8,1.4
2020-01-15 08:54:38.000,1202,4300,0.8,1.4
2020-01-15 08:54:38.500,1472,5050,0.8,1.4
2020-01-15 08:54:39.000,1472,5050,0.8,1.4
2020-01-15 08:54:39.500,1472,5050,0.8,1.4
2020-01-15 08:54:40.000,1472,5050,0.8,1.4
2020-01-15 08:54:40.500,1472,5050,0.8,1.4
2020-01-15 08:54:41.000,1472,5050,0.8,1.4
2020-01-15 08:54:41.500,2077,4096,0.8,1.4
2020-01-15 08:54:42.000,2077,4096,0.8,1.4
2020-01-15 08:54:42.500,2077,4096,0.8,1.4
2020-01-15 08:54:43.000,2077,4096,0.8,1.4
2020-01-15 08:54:43.500,2077,4096,0.8,1.4
2020-01-15 08:54:44.000,2077,4096,0.8,1.4
2020-01-15 08:54:44.500,1950,4680,0.8,1.4
2020-01-15 08:54:45.000,1950,4680,0.8,1.4
2020-01-15 08:54:45.500,1950,4680,0.8,1.4
2020-01-15 08:54:46.000,1950,4680,0.8,1.4
2020-01-15 08:54:46.500,1950,4680,0.8,1.4
2020-01-15 08:54:47.000,1950,4680,0.8,1.4
2020-01-15 08:54:47.500,1436,5550,0.8,1.4
